name,year,image_url,image_path,plot
Hugo,2011,https://m.media-amazon.com/images/M/MV5BMjAzNzk5MzgyNF5BMl5BanBnXkFtZTcwOTE4NDU5Ng@@._V1_SX300.jpg,hugo.jpg,"In Paris in 1931, an orphan named Hugo Cabret, who lives in the walls of a train station, is wrapped up in a mystery involving his late father and an automaton."
The Iron Lady,2011,https://m.media-amazon.com/images/M/MV5BODEzNDUyMDE3NF5BMl5BanBnXkFtZTcwMTgzOTg3Ng@@._V1_SX300.jpg,the_iron_lady.jpg,"An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life, from girlhood to British prime minister, intervene."
The Descendants,2011,https://m.media-amazon.com/images/M/MV5BMjAyNTA1MTcyN15BMl5BanBnXkFtZTcwNjEyODczNQ@@._V1_SX300.jpg,the_descendants.jpg,A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.
The Girl with the Dragon Tattoo,2011,https://m.media-amazon.com/images/M/MV5BMTczNDk4NTQ0OV5BMl5BanBnXkFtZTcwNDAxMDgxNw@@._V1_SX300.jpg,the_girl_with_the_dragon_tattoo.jpg,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
Midnight in Paris,2011,https://m.media-amazon.com/images/M/MV5BMTM4NjY1MDQwMl5BMl5BanBnXkFtZTcwNTI3Njg3NA@@._V1_SX300.jpg,midnight_in_paris.jpg,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight."
The Help,2011,https://m.media-amazon.com/images/M/MV5BMTM5OTMyMjIxOV5BMl5BanBnXkFtZTcwNzU4MjIwNQ@@._V1_SX300.jpg,the_help.jpg,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
A Separation,2011,https://m.media-amazon.com/images/M/MV5BMTYzMzU4NDUwOF5BMl5BanBnXkFtZTcwMTM5MjA5Ng@@._V1_SX300.jpg,a_separation.jpg,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
The Fantastic Flying Books of Mr. Morris Lessmore,2011,https://m.media-amazon.com/images/M/MV5BMTY4MjA5NTQxNF5BMl5BanBnXkFtZTgwMzE1NzcwMzE@._V1_SX300.jpg,the_fantastic_flying_books_of_mr_morris_lessmore.jpg,"After a hurricane levels his city, a young man wanders into a mysterious library where books literally come to life."
The Shore,2011,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMzI4MzY1OF5BMl5BanBnXkFtZTcwNzQxMDgzNw@@._V1_SX300.jpg,the_shore.jpg,"The story of Joe and Paddy, whose childhood friendship is shattered by the troubles in Northern Ireland. Twenty five years later they are reunited."
Undefeated,2011,https://m.media-amazon.com/images/M/MV5BOTE1ODE2NDc5Ml5BMl5BanBnXkFtZTcwNDU1NjQxOA@@._V1_SX300.jpg,undefeated.jpg,Chronicles three underprivileged students from inner-city Memphis and their volunteer coach who tries to help them beat the odds on and off the field.
The Muppets,2011,https://m.media-amazon.com/images/M/MV5BMjE0MTM4NTc3NF5BMl5BanBnXkFtZTcwMjYzOTIxNg@@._V1_SX300.jpg,the_muppets.jpg,A Muppet fanatic with some help from his 2 human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.
Saving Face,2011,N/A,confused.jpg,"Moments away from the greatest day of her life, Ally Park has no joy, no jitters and no love in her heart. Forced into consummating a loveless wedding by her overbearing, yet unsympathetic ..."
Beginners,2011,https://images-na.ssl-images-amazon.com/images/M/MV5BN2VhZWQxYmQtMDIwYy00MzU1LTlhNWMtZWMyNjYzYzA1ZWU0XkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_SX300.jpg,beginners.jpg,"Shorty"" sizes him up, but he doesn't look her way. Just after the funeral Milena kisses him. Sylvia can't stop stuffing herself. Teresa wants to dance and sing, and because of this she ..."
Rango,2011,https://m.media-amazon.com/images/M/MV5BMjE5ODg1NTk3OF5BMl5BanBnXkFtZTcwNzA5NTMyNA@@._V1_SX300.jpg,rango.jpg,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
